Date,ID,Title,Artist,ISRC,Playcount,,
23/07/2021,1088512276,Blxst & Bino Rideaux - She Perfect,Blxst,,23394,,
23/07/2021,1088229352,Ap Dhillon - Ma Belle (Official Audio),Ap Dhillon,,242338,,
23/07/2021,1089504526,Juice WRLD - Lovers Lane,Zen WRLD,,32123,,
23/07/2021,1090232725,Boosie & Webbie (Prod. ChrisSaves),Kaine,,15270,,
23/07/2021,1088512420,Blxst & Bino Rideaux - Movie,Blxst,,23461,,
23/07/2021,1086999175,Hurricane,Slimesito,,50349,,
23/07/2021,1086999892,Living to Slime,Slimesito,,45710,,
23/07/2021,1087772329,Juice WRLD- Adore You (CDQ Remaster Unreleased),WRLD of Juice Vault,,39130,,
23/07/2021,1082729113,Funk Flex - Lurkin Remix (Feat. King Von & Polo G) [Unreleased],LeakWrld,,1184165,,
23/07/2021,1088716336,King Von & Polo G - Lurkin 2.0,Polo G,,52171,,
23/07/2021,1089856579,Heart Clean,Tay Ball,,20047,,
23/07/2021,1085438422,M&M,Ken Carson,,176199,,
23/07/2021,1085991019,The Kid LAROI & Justin Bieber - STAY (Colin Hennerz remix),Colin Hennerz | EXTRAS,,171894,,
23/07/2021,1085397379,How I Been,Lil Mosey,,178326,,
23/07/2021,1088512252,Blxst & Bino Rideaux - What Is It,Blxst,,19497,,
23/07/2021,1086418204,KALIQ X KAY FLOCK - PANIC,?BallForMine MUSIC,,47855,,
23/07/2021,1087570210,bad_weather (splashgvng x milodrama),sewerperson,,30469,,
23/07/2021,1090428028,Kodak Black - Senseless (Fast),DJ Frisco Kodak,,30261,,
23/07/2021,1088884462,Glock,Tay Ball,,23158,,
23/07/2021,1087114606,Pouya & Kxllswxtch  - Burn,Pouya .,,39374,,
23/07/2021,1086999952,Damn,Slimesito,,41306,,
23/07/2021,1089057088,last friday night <3,heavensspyro (@xtretre),,25324,,
23/07/2021,1086999574,Hyper Glock,Slimesito,,42999,,
23/07/2021,1090607350,KodakBlack-Senseless[Official Audio],Florida mixes,,67812,,
23/07/2021,1090537642,do the most ,Destroylonely,,51119,,
23/07/2021,1090512334,Kodak Black - Senseless (FAST),DJ Fetti Fee Kodak Black,,48515,,
23/07/2021,1090536235,okay ya!,Destroylonely,,42354,,
